Day,Month,Year,Time,Station,Particle,Reading
31,12,2013,15,Skopje_Mrsevci,PM10,
31,12,2013,9,Skopje_Rektorat,PM10,
31,12,2013,20,Skopje_Miladinovci,PM10,
31,12,2013,17,Skopje_Centar,PM10,126.3
31,12,2013,4,Skopje_GaziBaba,PM10,
31,12,2013,1,Skopje_Centar,PM10,315.39
31,12,2013,23,Skopje_Mrsevci,PM10,
31,12,2013,9,Skopje_Mrsevci,PM10,
31,12,2013,11,Skopje_Miladinovci,PM10,
31,12,2013,11,Skopje_Mrsevci,PM10,
31,12,2013,17,Skopje_Rektorat,PM10,69.16
31,12,2013,14,Skopje_Centar,PM10,129.55
31,12,2013,13,Skopje_GaziBaba,PM10,
31,12,2013,10,Skopje_Karpos,PM10,502.32
31,12,2013,8,Skopje_GaziBaba,PM10,
31,12,2013,22,Skopje_Mrsevci,PM10,
31,12,2013,1,Skopje_Miladinovci,PM10,
31,12,2013,19,Skopje_Rektorat,PM10,82.58
31,12,2013,24,Skopje_Centar,PM10,146.49
31,12,2013,22,Skopje_Karpos,PM10,199.49
31,12,2013,24,Skopje_Karpos,PM10,161.28
31,12,2013,13,Skopje_Centar,PM10,153.07
31,12,2013,4,Skopje_Lisice,PM10,441.47
31,12,2013,24,Skopje_Miladinovci,PM10,
31,12,2013,14,Skopje_GaziBaba,PM10,
31,12,2013,18,Skopje_Miladinovci,PM10,
31,12,2013,3,Skopje_Miladinovci,PM10,
31,12,2013,6,Skopje_Karpos,PM10,227.04
31,12,2013,5,Skopje_Miladinovci,PM10,
31,12,2013,18,Skopje_Lisice,PM10,94.17
31,12,2013,16,Skopje_Karpos,PM10,110.76
31,12,2013,22,Skopje_Miladinovci,PM10,
31,12,2013,4,Skopje_Mrsevci,PM10,
31,12,2013,21,Skopje_Mrsevci,PM10,
31,12,2013,11,Skopje_Rektorat,PM10,
31,12,2013,13,Skopje_Lisice,PM10,151.94
31,12,2013,21,Skopje_GaziBaba,PM10,
31,12,2013,1,Skopje_GaziBaba,PM10,
31,12,2013,14,Skopje_Mrsevci,PM10,
31,12,2013,4,Skopje_Karpos,PM10,260.28
31,12,2013,12,Skopje_Karpos,PM10,460.75
31,12,2013,12,Skopje_Centar,PM10,216.69
31,12,2013,23,Skopje_Rektorat,PM10,169.21
31,12,2013,23,Skopje_Miladinovci,PM10,
31,12,2013,17,Skopje_Lisice,PM10,89.58
31,12,2013,24,Skopje_GaziBaba,PM10,
31,12,2013,4,Skopje_Miladinovci,PM10,
31,12,2013,21,Skopje_Rektorat,PM10,227.75
31,12,2013,5,Skopje_Centar,PM10,243.29
31,12,2013,6,Skopje_Lisice,PM10,334.39
31,12,2013,2,Skopje_Centar,PM10,310.19
31,12,2013,4,Skopje_Rektorat,PM10,
31,12,2013,20,Skopje_Rektorat,PM10,176.1
31,12,2013,7,Skopje_Rektorat,PM10,
31,12,2013,19,Skopje_Mrsevci,PM10,
31,12,2013,16,Skopje_Miladinovci,PM10,
31,12,2013,7,Skopje_Centar,PM10,235.11
31,12,2013,16,Skopje_Mrsevci,PM10,
31,12,2013,18,Skopje_Rektorat,PM10,76.38
31,12,2013,8,Skopje_Lisice,PM10,316.27
